ticker,NAICS
IQNT,517311
MGI,312230
BBGI,515111
MGM,721110
NASB,522120
TXRH,711110
IL,334614
LUV,481111
FOLD,325412
LUB,711110
LUK,311611
ADSK,334614
WPX,211120
QTS,525990
ROSE,211120
WPP,541810
DLLR,522320
GEVA,325414
QTM,334112
AIMC,314999
AVNW,334220
SLXP,325412
AVNR,325412
XL,524126
CMC,324199
VTL,325412
GTN,515120
ATML,334413
BFIN,522120
GTS,524113
GTT,517311
KEG,213112
HVB,522110
PCH,525990
ARNA,325412
BHLB,522120
LNC,524113
KEY,522110
HVT,337110
CWCO,221310
WBS,522110
TSLA,336111
DWSN,213112
GNTX,336211
WBC,336111
WBA,446110
NATR,325412
RPT,525990
UCP,236117
TEAR,332994
UVSP,522110
ARRS,334220
RPM,325510
ARRY,325412
AKAO,325412
AKAM,312230
GLRI,211120
BEAT,621399
BEAV,332912
M,452210
XOMA,325412
HXL,325211
ALXN,325412
RBC,335312
IPCC,524126
TESO,333132
UBNK,522120
RSPP,211120
LGF,512110
PBCT,522120
AMSWA,334614
NKTR,325412
FIBK,522110
IMMR,333316
IMMU,325412
ROLL,332991
TESS,423690
AXS,524126
NFLX,532282
BPTH,325412
FNLC,522110
AGEN,325414
AXE,423610
WRLD,522210
AXL,336211
CPSI,541511
IRWD,325412
NYRT,525990
ENSG,623110
HTCH,334220
HTCO,517311
OFC,525990
CLNE,221210
OFG,522110
EXEL,541713
FITB,522110
FVE,623110
RDNT,621511
TIS,322121
CLNY,525990
TIVO,515210
CAVM,334413
PHM,236117
ZIXI,518210
VMEM,334112
EPM,211120
BRCM,334413
SHLM,325211
SKT,525990
ESRT,525990
ITIC,524127
ESRX,446110
KLAC,333314
TRST,522110
ACGL,524126
MFA,525990
OKSB,522110
IXYS,334413
NWSA,511110
AMNB,522110
FTV,334513
MRIN,518210
GEF,332439
WGL,221210
GEO,525990
STBA,522110
MHO,236117
MHK,314110
IBKC,522110
DDS,452210
DDR,525990
SIRI,515111
CSGS,518210
SIRO,339114
COTY,325611
SPAR,336111
IBKR,523110
EBTC,522110
DDD,334614
ANF,448140
NVR,236117
ANN,448120
ANH,525990
OPHT,325412
UCBI,522110
MCHX,312230
RNWK,541511
MCHP,334413
MPWR,334413
REXI,523130
ATLO,522110
REXR,525990
GWR,482111
TMH,561320
WYNN,721110
TMK,524113
REXX,211120
APAM,523920
OMED,325412
OHRP,325412
NJR,221210
NSIT,454110
OMER,325412
RTRX,325412
NATL,524126
ATRC,332994
HES,324110
ATRI,332994
LOCK,518210
ATRO,332912
N,334614
ATRS,332994
KRC,525990
KRA,325211
KRG,525990
SFBS,522110
TRAK,541512
MM,541810
FFKT,522110
MBFI,522110
EIX,221111
AKBA,325412
WSR,525990
CNBKA,522110
EIG,524126
WTFC,522110
PGNX,325412
KERX,325412
AWAY,518210
UHT,525990
RDEN,325611
NTLS,517311
RWT,525990
FAF,524127
PDLI,325414
GOOD,531190
LVS,721110
DEST,448120
VECO,332410
RMAX,531110
SFLY,812921
ICPT,325412
MPAA,336211
LLNW,312230
T,517311
ANIK,332994
FRBK,522110
AGTC,325414
CLMS,523110
CCI,525990
CCK,332431
CCE,312111
ANIP,325412
CHMG,522110
FLIR,334511
MYL,325412
EPAY,334614
DMRC,541512
MYE,326121
FLIC,522110
SYKE,541512
DWRE,541511
JJSF,311812
WMK,445110
GLF,333132
WMC,525990
WMB,486210
TMO,334514
NXST,515120
ALEX,525990
OI,327213
OB,524126
ARQL,325412
NTRS,522110
PLKI,711110
TGTX,325412
NTRI,454110
TWOU,334614
COUP,334614
MWW,561320
MWV,322121
ZLC,448310
CHCO,522110
REGN,325412
FXCB,522120
DEL,321113
EBSB,522120
CVLT,334614
DFRG,711110
PCTI,334220
AME,335312
AMD,334413
AMG,523920
NWE,221111
PVTB,522110
HOMB,522110
NWL,326121
AMP,523920
NWN,221210
GLRE,524126
NSTG,325414
LRCX,332410
CFFN,522120
CFFI,522110
O,525990
VITC,454110
LDRH,332994
WDAY,518210
PCBK,522110
CVBF,522110
IVC,322291
ANGO,332994
CYNO,334510
IVR,525990
CYNI,541512
HTLD,484121
HTLF,522110
IVZ,523920
ACC,525990
NEO,541380
KOPN,334413
RGEN,325414
NEE,221111
ACN,312230
ACM,541330
ACW,336211
HASI,525990
HFC,324110
OPEN,312230
NES,213112
BKE,448140
PBY,441310
FDML,336211
BKH,221111
NATI,334614
BKU,522120
BKW,711110
LSCC,334413
CPHD,334516
SALT,483111
GSIT,334413
GILD,325414
MDVN,325412
SJW,221310
ESSA,522120
ACHN,325412
PRTA,325412
SCBT,522120
MSEX,221310
OSIR,325414
DOC,525990
ACHC,621399
GDP,211120
MBWM,522110
MEG,515120
REIS,312230
JRN,515120
MEI,334417
EBAY,312230
MET,524113
TFSL,522120
SPNS,334614
LGIH,236117
TW,541611
PDCO,423450
SPNC,334510
PDCE,211120
VHC,533110
TXN,334413
TXI,327310
LINTA,515210
WELL,525990
TK,483111
QSII,541512
TE,221111
AA,331313
AE,424720
AF,522120
AI,523130
DELL,334111
AP,333914
HBHC,522110
ISRL,211120
TSRA,334413
AFSI,524126
TSRE,525990
ISRG,322291
HHS,511140
UBNT,334220
NKE,316210
HHC,525990
NHI,525990
VSAR,325412
CPK,221210
CPN,221111
CPA,481111
TQNT,334413
CPE,211120
CPF,522110
WLH,236117
AFOP,334413
SBAC,525990
WLB,212111
CPS,336211
CPT,525990
EFSC,522110
ARPI,525990
ALDR,325412
NILE,448310
UAM,524114
UAL,481111
MANH,334614
VOYA,524113
GLPW,332313
WRE,525990
WRB,524126
XOOM,522320
HZO,441310
TAYC,522110
WRI,525990
P,515111
SMA,322291
RCAP,523110
DORM,336211
UNIS,332994
PLPM,312230
CVCO,321991
FOXA,515210
NBBC,522110
FOXF,336991
LAZ,523920
FFG,524113
CODE,334413
TRK,711212
DTE,221111
WMGI,322291
WRES,211120
SEAC,334220
DTV,485310
AAWW,481211
PZN,523920
DCOM,522120
DVAX,325412
SCSC,423430
NBTB,522110
FTR,517311
DCO,332912
BNFT,334614
STBZ,522110
THRM,336211
FIVE,452319
FTD,312230
LHCG,621610
FTI,333132
UTMD,332994
FIVN,518210
CBB,517311
CBF,522110
CBK,448120
SBSI,522110
CBL,525990
CBM,325412
CBS,515120
MXL,334413
QUIK,334413
CBU,522110
CBZ,312230
NUAN,334614
GIMO,518210
FR,525990
CROX,316210
ACIW,334614
CDNS,334614
MSFG,522110
SMP,336211
MGRC,532210
TTMI,334412
FC,236115
FE,221111
FL,448210
FN,334210
BZH,236117
GGP,525990
MDC,236117
NGHC,524126
BONT,452210
GGG,333914
NATH,711110
DGAS,221210
MDR,332313
RPXC,533110
MDP,511120
MBVT,522110
ASPX,325412
MDT,334510
ESBF,522120
ZMH,322291
DFS,522210
ILMN,334516
BAX,332994
ALL,524126
ALJ,324110
ALK,481111
RTIX,322291
ALG,332216
