Ticker,BEA,NAICS,Title
CAT,333,333120,Machinery
CATM,311FT,312230,Food and beverage and tobacco products
CATO,4A0,448120,Other retail
CATY,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CAVM,334,334413,Computer and electronic products
CB,524,524126,Insurance carriers and related activities
CBB,513,517311,Broadcasting and telecommunications
CBEY,513,517311,Broadcasting and telecommunications
CBF,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CBK,4A0,448120,Other retail
CBL,525,525990,"Funds, trusts, and other financial vehicles"
CBM,325,325412,Chemical products
CBRL,711AS,711110,"Performing arts, spectator sports, museums, and related activities"
CBS,513,515120,Broadcasting and telecommunications
CBSH,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CBST,325,325412,Chemical products
CBU,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CBZ,311FT,312230,Food and beverage and tobacco products
CCBG,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CCE,311FT,312111,Food and beverage and tobacco products
CCI,525,525990,"Funds, trusts, and other financial vehicles"
CCK,332,332431,Fabricated metal products
CCMP,334,334413,Computer and electronic products
CCNE,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CCOI,485,485310,Transit and ground passenger transportation
CCRN,561,561320,Administrative and support services
CCXI,325,325412,Chemical products
CDI,561,561320,Administrative and support services
CDNS,334,334614,Computer and electronic products
CDR,525,525990,"Funds, trusts, and other financial vehicles"
CEB,5412OP,541611,"Miscellaneous professional, scientific, and technical services"
CECE,333,333413,Machinery
CELG,325,325412,Chemical products
CENX,331,331313,Primary metals
CERN,5415,541512,Computer systems design and related services
CERS,332,332994,Fabricated metal products
CETV,513,515120,Broadcasting and telecommunications
CEVA,334,334413,Computer and electronic products
CFFI,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CFFN,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
CFG,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CFN,332,332994,Fabricated metal products
CFNB,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CFNL,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CFR,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CFX,333,333914,Machinery
CGNX,334,334513,Computer and electronic products
CHCO,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CHDN,711AS,711212,"Performing arts, spectator sports, museums, and related activities"
CHDX,42,423450,Wholesale trade
CHE,621,621610,Ambulatory health care services
CHEF,42,424410,Wholesale trade
CHFC,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CHFN,521CI,522120,"Federal Reserve banks, credit intermediation, and related activities"
CHH,721,721110,Accommodation
CHK,211,211120,Oil and gas extraction
CHKP,334,334614,Computer and electronic products
CHMG,521CI,522110,"Federal Reserve banks, credit intermediation, and related activities"
CHRW,487OS,488510,Other transportation and support activities
CHS,4A0,448120,Other retail
CHSP,525,525990,"Funds, trusts, and other financial vehicles"
