ticker,pricetorevenue,marketcap
FARO,1.70836139,548740270.6
FBC,1.830256202,1409319974
FBIZ,2.514436434,196898328.5
FBNC,2.931132558,413983131.2
FBNK,3.117458915,258127989.3
FBP,1.566408527,900863156.2
FC,1.259513178,255339929.9
FCBC,3.462793411,396687372.5
FCF,3.44107907,870954161.2
FCN,0.902058527,1633064387
FCNCA,2.364517054,3273314884
FDEF,3.497508915,378877629.6
FDML,0.190868217,1421750118
FDX,0.864312791,44038995969
FE,0.951603101,14199292519
FELE,1.734549612,1602643097
FFBC,3.841889922,1271956308
FFG,2.210885271,1588578947
FFIC,3.404718992,645175073.1
FFIN,7.337075969,2229577728
FFKT,2.792790734,221416704.9
FFNW,5.472461776,181069796
FGL,1.368074419,1411102296
FHN,2.861436047,3470743594
FIBK,3.417341085,1352856363
FICO,4.175459302,3614791315
FII,2.870132946,2891225533
FINL,0.489308915,875092351.9
FIS,2.987541085,22823472674
FISI,3.071486434,401058037.7
FISV,1.08168876,5782353281
FITB,2.262762791,15055809207
FIX,0.714762016,1145991622
FIZZ,3.159397287,2263857982
FL,1.173572093,8807421302
FLIC,7.497655426,667810267.3
FLIR,2.082562403,3322880448
FLS,1.356343023,5956241778
FLT,8.238415504,14148205590
FMBI,3.209953876,1507731387
FN,1.367402326,1319158695
FNB,3.596069767,2571864810
FNF,13.80073488,66359500787
FNGN,5.070326357,1759919512
FNHC,1.078079845,281259897.3
FNLC,4.353319615,235824290.5
FNSR,1.794907752,2316703574
FOE,0.966776744,1068524622
FORM,1.920422093,561073975
FOSL,0.510200775,1607485228
FOX,1.920378295,52042038818
FOXA,1.920378295,52042038818
FOXF,1.882285659,716349698.6
FPRX,3.28235969,1198574412
FR,7.762116279,2875394572
FRBK,3.265937452,180297883.4
FRGI,1.092396512,767636124
FRME,3.900296124,1068299864
FRP,0.484206464,409576990.2
FRSH,1.056947674,130201755.9
FRT,13.98437403,10715638039
FSLR,1.171900388,5047290668
FSP,4.731144961,1154560974
FSS,1.148865891,844250635.7
FTI,1.187380233,6532294283
FTNT,4.964658915,5525795290
FUL,1.079081783,2244371555
FULT,3.330284496,2301081289
FWRD,1.394703101,1355893962
