111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,
Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,,
,,,,,,,,,,,,,,,,,,,,,,,,,,57,280,197,0,9,9,,0,1,,,5,0,58,14731,46240,7,8,6,0,,0,25,2,7,10,1462,242,53,,4811,28,11,1138,539,558,120,1437,1559,526,884,269,15,526,,81987,157818
531,7,106,103,90,257,5262,284,297,221,1063,868,569,143,687,575,493,480,1162,181,171,387,371,245,928,571,12069,2338,848,538,9727,598,54,738,1318,556,38,840,732,1013,1004,125885,4224,3916,8450,2343,435,39,16465,2814,5270,3628,11346,9020,12260,446,3033,7915,7054,1433,1540,943,928,1469,4287,5551,2969,2052,842,31931,201,418102,745255
0,1,106,10,5,862,913,764,675,559,1943,1739,359,203,1206,1360,541,808,2108,302,251,891,403,202,910,921,3188,1436,1010,782,6077,388,2,1,30,43,21,114,43,1780,296,2612,5264,3602,20175,1110,516,3,1331,1185,2336,1247,8256,9396,12019,518,1211,1271,3512,252,301,448,386,329,2519,3350,2077,15951,1721,16295,1353,35535,189333
8006,91,454,452,244,5215,6728,463,927,985,2369,1676,684,279,1551,689,522,907,4166,472,333,542,456,218,1607,1887,13070,2576,2453,829,14127,534,1485,177,3073,902,73,743,396,1649,604,3745,1792,71443,21952,6446,2834,24669,19952,17077,3912,3147,16346,14609,8398,343,2630,8612,2826,2586,918,664,2023,1316,3305,6416,488,376,2857,15587,9648,334078,695607
262,64,139,698,365,569,2802,47,129,753,1412,1104,154,147,1173,490,324,524,468,45,34,53,120,50,104,222,1827,273,361,42,1565,153,1588,853,714,140,31,227,66,348,125,470,206,46203,41573,2331,95688,38,2146,1004,1392,441,3216,7428,2501,67,461,2175,13128,801,1839,318,217,1438,1173,18553,15,108,73,30549,3404,218322,517846
8385,162,468,653,278,267,136,318,500,473,1000,1160,440,455,1331,360,308,420,1733,452,1106,323,215,242,1663,506,20256,3486,1737,610,9029,341,32,2132,9285,5212,78,2795,757,644,736,1111,652,17330,14878,291906,5955,9418,13253,5227,5967,1180,10965,2396,11392,1473,1607,36339,57184,3887,2549,3708,2578,2553,6262,3928,2,2595,3302,267,1168,339441,940959
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4025,3241,2664,,,,,,,5,,,,,,,,,,,,,,,,,,184333,194269
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2017759,2017759
5675,31,116,61,47,2146,8757,252,196,174,1084,737,2594,213,835,653,267,443,836,201,194,278,269,106,2735,436,44673,14702,15136,13033,78644,2076,292,2721,5027,496,32,5124,8724,2182,1523,19248,9966,4638,16453,4993,1137,35070,156155,9582,12726,10239,50810,21547,21988,2205,40114,60242,38144,28979,18781,10061,13493,7772,40720,58929,4788,6020,924,43193,4233,137899,1114772
4587,105,2707,1593,805,1117,22852,523,927,982,3845,3005,1615,620,4459,2060,310,1746,6143,285,618,1528,949,978,6947,1508,16101,1154,1588,869,11412,8549,2781,80,10583,1671,7,2462,753,2349,1574,12853,8534,1289,3886,1494,31,26,5304,5929,2396,4362,14022,27663,7759,1796,3853,8478,14362,1330,875,2812,1752,2275,8636,5053,674,342,365,9352,687,159625,452561
